województwo;gmina;TERYT gminy;podano;liczba uprawnionych;liczba wydanych kart
warmińsko-mazurskie;gm. Elbląg;"=""280401""";5;5830;593
warmińsko-mazurskie;gm. Godkowo;"=""280402""";3;3000;1500
warmińsko-mazurskie;gm. Gronowo Elbląskie;"=""280403""";2;4025;664
warmińsko-mazurskie;gm. Markusy;"=""280404""";3;3198;2700
warmińsko-mazurskie;gm. Milejewo;"=""280405""";2;2705;701
warmińsko-mazurskie;gm. Młynary;"=""280406""";3;3719;700
warmińsko-mazurskie;gm. Pasłęk;"=""280407""";14;15763;4943
warmińsko-mazurskie;gm. Rychliki;"=""280408""";3;3212;420
warmińsko-mazurskie;gm. Tolkmicko;"=""280409""";7;5319;3712
warmińsko-mazurskie;m. Ełk;"=""280501""";24;45723;17179
warmińsko-mazurskie;gm. Ełk;"=""280502""";11;8548;1455
warmińsko-mazurskie;gm. Kalinowo;"=""280503""";6;5427;1079
warmińsko-mazurskie;gm. Prostki;"=""280504""";7;5944;2870
warmińsko-mazurskie;gm. Stare Juchy;"=""280505""";4;3197;1024
warmińsko-mazurskie;m. Giżycko;"=""280601""";12;23825;10153
warmińsko-mazurskie;gm. Giżycko;"=""280604""";12;6744;587
warmińsko-mazurskie;gm. Kruklanki;"=""280605""";5;2557;1950
warmińsko-mazurskie;gm. Miłki;"=""280606""";3;3137;308
warmińsko-mazurskie;gm. Ryn;"=""280608""";7;4849;1896
warmińsko-mazurskie;gm. Wydminy;"=""280610""";7;5277;1990
warmińsko-mazurskie;m. Iława;"=""280701""";21;26559;12753
warmińsko-mazurskie;m. Lubawa;"=""280702""";4;7625;2851
warmińsko-mazurskie;gm. Iława;"=""280703""";12;9910;1059
warmińsko-mazurskie;gm. Kisielice;"=""280704""";7;4948;3250
warmińsko-mazurskie;gm. Lubawa;"=""280705""";8;8257;2420
warmińsko-mazurskie;gm. Susz;"=""280706""";11;10077;3275
warmińsko-mazurskie;gm. Zalewo;"=""280707""";4;5669;4100
warmińsko-mazurskie;m. Kętrzyn;"=""280801""";14;22988;10782
warmińsko-mazurskie;gm. Barciany;"=""280802""";7;5408;1130
warmińsko-mazurskie;gm. Kętrzyn;"=""280803""";12;6703;1303
warmińsko-mazurskie;gm. Korsze;"=""280804""";9;8289;2392
warmińsko-mazurskie;gm. Reszel;"=""280805""";8;6532;1864
warmińsko-mazurskie;gm. Srokowo;"=""280806""";5;3333;1500
warmińsko-mazurskie;m. Lidzbark Warmiński;"=""280901""";10;13032;1000
warmińsko-mazurskie;gm. Kiwity;"=""280902""";4;2817;277
warmińsko-mazurskie;gm. Lidzbark Warmiński;"=""280903""";8;5484;530
warmińsko-mazurskie;gm. Lubomino;"=""280904""";3;2929;1100
warmińsko-mazurskie;gm. Orneta;"=""280905""";8;10019;2800
warmińsko-mazurskie;m. Mrągowo;"=""281001""";12;17428;6210
warmińsko-mazurskie;gm. Mikołajki;"=""281002""";6;6686;3960
warmińsko-mazurskie;gm. Mrągowo;"=""281003""";7;6343;1460
warmińsko-mazurskie;gm. Piecki;"=""281004""";9;6381;3640
warmińsko-mazurskie;gm. Sorkwity;"=""281005""";5;3739;350
warmińsko-mazurskie;gm. Janowiec Kościelny;"=""281101""";5;2665;270
warmińsko-mazurskie;gm. Janowo;"=""281102""";4;2190;708
warmińsko-mazurskie;gm. Kozłowo;"=""281103""";6;4843;829
warmińsko-mazurskie;gm. Nidzica;"=""281104""";15;17168;3205
warmińsko-mazurskie;m. Nowe Miasto Lubawskie;"=""281201""";6;8700;1701
warmińsko-mazurskie;gm. Biskupiec;"=""281202""";7;7648;2289
warmińsko-mazurskie;gm. Grodziczno;"=""281203""";6;4956;3500
warmińsko-mazurskie;gm. Kurzętnik;"=""281204""";5;7032;5800
warmińsko-mazurskie;gm. Nowe Miasto Lubawskie;"=""281205""";7;6314;2385
warmińsko-mazurskie;gm. Kowale Oleckie;"=""281303""";5;4155;490
warmińsko-mazurskie;gm. Olecko;"=""281304""";21;17209;7939
warmińsko-mazurskie;gm. Świętajno;"=""281305""";5;3293;1250
warmińsko-mazurskie;gm. Wieliczki;"=""281306""";5;2480;620
warmińsko-mazurskie;gm. Barczewo;"=""281401""";19;13499;3072
warmińsko-mazurskie;gm. Biskupiec;"=""281402""";19;15458;2350
warmińsko-mazurskie;gm. Dobre Miasto;"=""281403""";16;12885;3029
warmińsko-mazurskie;gm. Dywity;"=""281404""";9;8724;1270
warmińsko-mazurskie;gm. Gietrzwałd;"=""281405""";5;4899;1643
warmińsko-mazurskie;gm. Jeziorany;"=""281406""";6;6266;2050
warmińsko-mazurskie;gm. Jonkowo;"=""281407""";5;5519;3500
warmińsko-mazurskie;gm. Kolno;"=""281408""";3;2765;333
warmińsko-mazurskie;gm. Olsztynek;"=""281409""";18;10816;2810
warmińsko-mazurskie;gm. Purda;"=""281410""";6;6757;4460
warmińsko-mazurskie;gm. Stawiguda;"=""281411""";6;6337;4780
warmińsko-mazurskie;gm. Świątki;"=""281412""";6;3297;659
warmińsko-mazurskie;m. Ostróda;"=""281501""";21;27096;16500
warmińsko-mazurskie;gm. Dąbrówno;"=""281502""";4;3417;2530
warmińsko-mazurskie;gm. Grunwald;"=""281503""";4;4426;1968
warmińsko-mazurskie;gm. Łukta;"=""281504""";3;3542;2510
warmińsko-mazurskie;gm. Małdyty;"=""281505""";4;5136;830
warmińsko-mazurskie;gm. Miłakowo;"=""281506""";5;4526;1398
warmińsko-mazurskie;gm. Miłomłyn;"=""281507""";5;4104;571
warmińsko-mazurskie;gm. Morąg;"=""281508""";21;19723;10500
warmińsko-mazurskie;gm. Ostróda;"=""281509""";15;12412;2480
warmińsko-mazurskie;gm. Biała Piska;"=""281601""";9;9588;2099
warmińsko-mazurskie;gm. Orzysz;"=""281602""";8;7496;1918
warmińsko-mazurskie;gm. Pisz;"=""281603""";17;21549;6350
warmińsko-mazurskie;gm. Ruciane-Nida;"=""281604""";8;6911;1033
warmińsko-mazurskie;m. Szczytno;"=""281701""";21;19445;4186
warmińsko-mazurskie;gm. Dźwierzuty;"=""281702""";6;5450;1167
warmińsko-mazurskie;gm. Jedwabno;"=""281703""";4;3001;482
warmińsko-mazurskie;gm. Pasym;"=""281704""";8;4282;456
warmińsko-mazurskie;gm. Rozogi;"=""281705""";7;4610;2280
warmińsko-mazurskie;gm. Szczytno;"=""281706""";11;9674;2032
warmińsko-mazurskie;gm. Świętajno;"=""281707""";6;4858;1370
warmińsko-mazurskie;gm. Wielbark;"=""281708""";6;5285;750
warmińsko-mazurskie;gm. Banie Mazurskie;"=""281801""";4;3310;1629
warmińsko-mazurskie;gm. Dubeninki;"=""281802""";3;2499;257
warmińsko-mazurskie;gm. Gołdap;"=""281803""";14;15975;5596
warmińsko-mazurskie;gm. Budry;"=""281901""";4;2488;803
warmińsko-mazurskie;gm. Pozezdrze;"=""281902""";3;2773;1362
warmińsko-mazurskie;gm. Węgorzewo;"=""281903""";15;13999;7183
warmińsko-mazurskie;m. Elbląg;"=""286101""";57;92847;40162
warmińsko-mazurskie;m. Olsztyn;"=""286201""";87;131210;24306
wielkopolskie;m. Chodzież;"=""300101""";8;14894;6891
wielkopolskie;gm. Budzyń;"=""300102""";5;6634;1450
wielkopolskie;gm. Chodzież;"=""300103""";8;4598;1598
wielkopolskie;gm. Margonin;"=""300104""";6;4935;1230
wielkopolskie;gm. Szamocin;"=""300105""";5;5859;1078
wielkopolskie;m. Czarnków;"=""300201""";5;8758;3680
wielkopolskie;gm. Czarnków;"=""300202""";11;8795;4105
wielkopolskie;gm. Drawsko;"=""300203""";5;4746;680
wielkopolskie;gm. Krzyż Wielkopolski;"=""300204""";5;8730;3300
wielkopolskie;gm. Lubasz;"=""300205""";6;5851;4000
wielkopolskie;gm. Połajewo;"=""300206""";4;4866;1835
wielkopolskie;gm. Trzcianka;"=""300207""";21;19037;8249
wielkopolskie;gm. Wieleń;"=""300208""";10;9920;3270
wielkopolskie;m. Gniezno;"=""300301""";35;54861;22984
wielkopolskie;gm. Czerniejewo;"=""300302""";4;5712;1459
wielkopolskie;gm. Gniezno;"=""300303""";5;8355;1497
wielkopolskie;gm. Kiszkowo;"=""300304""";4;4283;255
wielkopolskie;gm. Kłecko;"=""300305""";6;5998;780
wielkopolskie;gm. Łubowo;"=""300306""";4;4773;4200
wielkopolskie;gm. Mieleszyn;"=""300307""";4;3099;950
wielkopolskie;gm. Niechanowo;"=""300308""";3;4425;795
wielkopolskie;gm. Trzemeszno;"=""300309""";10;11225;1119
wielkopolskie;gm. Witkowo;"=""300310""";10;10834;2930
wielkopolskie;gm. Borek Wielkopolski;"=""300401""";5;6091;3411
wielkopolskie;gm. Gostyń;"=""300402""";21;22538;10230
wielkopolskie;gm. Krobia;"=""300403""";8;10271;1600
wielkopolskie;gm. Pępowo;"=""300404""";4;4773;950
wielkopolskie;gm. Piaski;"=""300405""";6;6817;555
wielkopolskie;gm. Pogorzela;"=""300406""";4;4062;2400
wielkopolskie;gm. Poniec;"=""300407""";5;6333;3110
wielkopolskie;gm. Granowo;"=""300501""";4;3935;1200
wielkopolskie;gm. Grodzisk Wielkopolski;"=""300502""";9;15290;2250
wielkopolskie;gm. Kamieniec;"=""300503""";5;5214;2080
wielkopolskie;gm. Rakoniewice;"=""300504""";6;10010;2456
wielkopolskie;gm. Wielichowo;"=""300505""";5;5444;4609
wielkopolskie;gm. Jaraczewo;"=""300601""";6;6574;1256
wielkopolskie;gm. Jarocin;"=""300602""";21;36875;14650
wielkopolskie;gm. Kotlin;"=""300603""";5;5731;685
wielkopolskie;gm. Żerków;"=""300604""";8;8340;7505
wielkopolskie;gm. Blizanów;"=""300701""";8;7910;4848
wielkopolskie;gm. Brzeziny;"=""300702""";7;5879;1970
wielkopolskie;gm. Ceków-Kolonia;"=""300703""";4;3858;500
wielkopolskie;gm. Godziesze Wielkie;"=""300704""";9;7359;4820
wielkopolskie;gm. Koźminek;"=""300705""";6;6094;630
wielkopolskie;gm. Lisków;"=""300706""";4;4274;2000
wielkopolskie;gm. Mycielin;"=""300707""";3;3764;3100
wielkopolskie;gm. Opatówek;"=""300708""";6;8676;8200
wielkopolskie;gm. Stawiszyn;"=""300709""";3;5869;169
wielkopolskie;gm. Szczytniki;"=""300710""";4;6318;2250
wielkopolskie;gm. Żelazków;"=""300711""";8;7555;650
wielkopolskie;gm. Baranów;"=""300801""";6;6183;1100
wielkopolskie;gm. Bralin;"=""300802""";7;4716;1473
wielkopolskie;gm. Kępno;"=""300803""";15;18015;12280
wielkopolskie;gm. Łęka Opatowska;"=""300804""";3;4278;3340
wielkopolskie;gm. Perzów;"=""300805""";3;3082;1373
wielkopolskie;gm. Rychtal;"=""300806""";4;3192;600
wielkopolskie;gm. Trzcinica;"=""300807""";3;3872;1013
wielkopolskie;m. Koło;"=""300901""";12;18172;5505
wielkopolskie;gm. Babiak;"=""300902""";5;6504;5400
wielkopolskie;gm. Chodów;"=""300903""";4;2735;600
wielkopolskie;gm. Dąbie;"=""300904""";5;5368;3385
wielkopolskie;gm. Grzegorzew;"=""300905""";5;4570;1400
wielkopolskie;gm. Kłodawa;"=""300906""";11;10677;3558
wielkopolskie;gm. Koło;"=""300907""";4;6084;1119
wielkopolskie;gm. Kościelec;"=""300908""";4;5404;2000
wielkopolskie;gm. Olszówka;"=""300909""";3;3763;3010
wielkopolskie;gm. Osiek Mały;"=""300910""";3;4754;511
wielkopolskie;gm. Przedecz;"=""300911""";3;3502;900
wielkopolskie;gm. Golina;"=""301001""";7;9644;4000
wielkopolskie;gm. Grodziec;"=""301002""";4;4170;1700
wielkopolskie;gm. Kazimierz Biskupi;"=""301003""";6;9126;4602
wielkopolskie;gm. Kleczew;"=""301004""";6;8068;1779
wielkopolskie;gm. Kramsk;"=""301005""";9;8616;858
wielkopolskie;gm. Krzymów;"=""301006""";5;6084;1328
wielkopolskie;gm. Rychwał;"=""301007""";7;6702;1441
wielkopolskie;gm. Rzgów;"=""301008""";4;5682;3350
wielkopolskie;gm. Skulsk;"=""301009""";9;4956;265
wielkopolskie;gm. Sompolno;"=""301010""";7;8417;762
wielkopolskie;gm. Stare Miasto;"=""301011""";8;9390;3562
wielkopolskie;gm. Ślesin;"=""301012""";9;11267;1850
wielkopolskie;gm. Wierzbinek;"=""301013""";7;5923;955
wielkopolskie;gm. Wilczyn;"=""301014""";6;4936;600
wielkopolskie;m. Kościan;"=""301101""";12;19233;4132
wielkopolskie;gm. Czempiń;"=""301102""";5;9003;2398
wielkopolskie;gm. Kościan;"=""301103""";11;12553;7040
wielkopolskie;gm. Krzywiń;"=""301104""";5;7954;3372
wielkopolskie;gm. Śmigiel;"=""301105""";20;14105;7809
wielkopolskie;m. Sulmierzyce;"=""301201""";1;2218;1864
wielkopolskie;gm. Kobylin;"=""301202""";8;6460;2248
wielkopolskie;gm. Koźmin Wielkopolski;"=""301203""";7;10804;2642
wielkopolskie;gm. Krotoszyn;"=""301204""";21;32105;12451
wielkopolskie;gm. Rozdrażew;"=""301205""";3;4048;2700
wielkopolskie;gm. Zduny;"=""301206""";2;4037;900
wielkopolskie;gm. Krzemieniewo;"=""301301""";5;6756;5130
wielkopolskie;gm. Lipno;"=""301302""";4;5714;4400
wielkopolskie;gm. Osieczna;"=""301303""";5;7128;1200
wielkopolskie;gm. Rydzyna;"=""301304""";10;6950;750
wielkopolskie;gm. Święciechowa;"=""301305""";0;0;0
wielkopolskie;gm. Wijewo;"=""301306""";2;2868;273
wielkopolskie;gm. Włoszakowice;"=""301307""";6;7182;1830
wielkopolskie;gm. Chrzypsko Wielkie;"=""301401""";2;2534;450
wielkopolskie;gm. Kwilcz;"=""301402""";3;4700;1800
wielkopolskie;gm. Międzychód;"=""301403""";10;14642;3990
wielkopolskie;gm. Sieraków;"=""301404""";4;6989;2062
wielkopolskie;gm. Kuślin;"=""301501""";3;4300;1987
wielkopolskie;gm. Lwówek;"=""301502""";6;7194;1273
wielkopolskie;gm. Miedzichowo;"=""301503""";2;2993;1500
wielkopolskie;gm. Nowy Tomyśl;"=""301504""";16;20268;2752
wielkopolskie;gm. Opalenica;"=""301505""";10;12792;2145
wielkopolskie;gm. Zbąszyń;"=""301506""";11;10721;5500
wielkopolskie;gm. Oborniki;"=""301601""";21;26063;10215
wielkopolskie;gm. Rogoźno;"=""301602""";13;13873;8293
wielkopolskie;gm. Ryczywół;"=""301603""";7;5705;1350
wielkopolskie;m. Ostrów Wielkopolski;"=""301701""";36;54824;18726
wielkopolskie;gm. Nowe Skalmierzyce;"=""301702""";9;12260;2723
wielkopolskie;gm. Odolanów;"=""301703""";16;11497;3515
wielkopolskie;gm. Ostrów Wielkopolski;"=""301704""";13;15006;2411
wielkopolskie;gm. Przygodzice;"=""301705""";8;9504;3185
wielkopolskie;gm. Raszków;"=""301706""";7;9285;1856
wielkopolskie;gm. Sieroszewice;"=""301707""";7;7644;1048
wielkopolskie;gm. Sośnie;"=""301708""";6;5079;3420
wielkopolskie;gm. Czajków;"=""301801""";2;2006;290
wielkopolskie;gm. Doruchów;"=""301802""";5;4162;2550
wielkopolskie;gm. Grabów nad Prosną;"=""301803""";9;5756;2589
wielkopolskie;gm. Kobyla Góra;"=""301804""";11;4707;3150
wielkopolskie;gm. Kraszewice;"=""301805""";3;2853;2180
wielkopolskie;gm. Mikstat;"=""301806""";7;4948;1620
wielkopolskie;gm. Ostrzeszów;"=""301807""";15;17139;5438
wielkopolskie;m. Piła;"=""301901""";39;58160;12082
wielkopolskie;gm. Białośliwie;"=""301902""";5;3832;240
wielkopolskie;gm. Kaczory;"=""301903""";5;6170;520
wielkopolskie;gm. Łobżenica;"=""301904""";6;7623;3350
wielkopolskie;gm. Miasteczko Krajeńskie;"=""301905""";3;2590;1742
wielkopolskie;gm. Szydłowo;"=""301906""";7;6792;2500
wielkopolskie;gm. Ujście;"=""301907""";8;6490;3260
wielkopolskie;gm. Wyrzysk;"=""301908""";10;11136;4600
wielkopolskie;gm. Wysoka;"=""301909""";4;5355;1400
wielkopolskie;gm. Chocz;"=""302001""";4;3829;300
wielkopolskie;gm. Czermin;"=""302002""";3;3846;2910
wielkopolskie;gm. Dobrzyca;"=""302003""";8;6438;2333
wielkopolskie;gm. Gizałki;"=""302004""";4;3670;400
wielkopolskie;gm. Gołuchów;"=""302005""";7;8288;7400
wielkopolskie;gm. Pleszew;"=""302006""";26;23781;4201
wielkopolskie;m. Luboń;"=""302101""";21;23293;6190
wielkopolskie;m. Puszczykowo;"=""302102""";6;7898;2027
wielkopolskie;gm. Buk;"=""302103""";6;9641;4568
wielkopolskie;gm. Czerwonak;"=""302104""";15;20437;4863
wielkopolskie;gm. Dopiewo;"=""302105""";12;15205;4135
wielkopolskie;gm. Kleszczewo;"=""302106""";3;5390;4311
wielkopolskie;gm. Komorniki;"=""302107""";21;17960;3503
wielkopolskie;gm. Kostrzyn;"=""302108""";11;13768;4189
wielkopolskie;gm. Kórnik;"=""302109""";14;17999;2956
wielkopolskie;gm. Mosina;"=""302110""";21;23582;10020
wielkopolskie;gm. Murowana Goślina;"=""302111""";11;13043;3933
wielkopolskie;gm. Pobiedziska;"=""302112""";10;14826;3534
wielkopolskie;gm. Rokietnica;"=""302113""";10;11195;2824
wielkopolskie;gm. Stęszew;"=""302114""";8;11848;1192
wielkopolskie;gm. Suchy Las;"=""302115""";8;11948;3766
wielkopolskie;gm. Swarzędz;"=""302116""";24;34626;11013
wielkopolskie;gm. Tarnowo Podgórne;"=""302117""";13;18410;10533
wielkopolskie;gm. Bojanowo;"=""302201""";6;7005;1012
wielkopolskie;gm. Jutrosin;"=""302202""";4;5552;4330
wielkopolskie;gm. Miejska Górka;"=""302203""";6;7469;936
wielkopolskie;gm. Pakosław;"=""302204""";4;3669;2095
wielkopolskie;gm. Rawicz;"=""302205""";21;23891;5496
wielkopolskie;m. Słupca;"=""302301""";7;11434;3124
wielkopolskie;gm. Lądek;"=""302302""";3;4734;200
wielkopolskie;gm. Orchowo;"=""302303""";6;3123;2110
wielkopolskie;gm. Ostrowite;"=""302304""";4;4180;3348
wielkopolskie;gm. Powidz;"=""302305""";2;1873;420
wielkopolskie;gm. Słupca;"=""302306""";6;7586;2079
wielkopolskie;gm. Strzałkowo;"=""302307""";6;8021;3300
wielkopolskie;gm. Zagórów;"=""302308""";5;7157;5121
wielkopolskie;m. Obrzycko;"=""302401""";1;1921;1390
wielkopolskie;gm. Duszniki;"=""302402""";5;6820;5760
wielkopolskie;gm. Kaźmierz;"=""302403""";6;6275;1353
wielkopolskie;gm. Obrzycko;"=""302404""";2;3481;1000
wielkopolskie;gm. Ostroróg;"=""302405""";2;3912;250
wielkopolskie;gm. Pniewy;"=""302406""";7;9742;285
wielkopolskie;gm. Szamotuły;"=""302407""";16;23187;10437
wielkopolskie;gm. Wronki;"=""302408""";12;15035;3582
wielkopolskie;gm. Dominowo;"=""302501""";3;2299;149
wielkopolskie;gm. Krzykosy;"=""302502""";4;5218;1732
wielkopolskie;gm. Nowe Miasto nad Wartą;"=""302503""";5;7196;3674
wielkopolskie;gm. Środa Wielkopolska;"=""302504""";21;24793;10750
wielkopolskie;gm. Zaniemyśl;"=""302505""";4;5299;540
wielkopolskie;gm. Brodnica;"=""302601""";4;3826;3190
wielkopolskie;gm. Dolsk;"=""302602""";5;4627;1093
wielkopolskie;gm. Książ Wielkopolski;"=""302603""";4;6678;617
wielkopolskie;gm. Śrem;"=""302604""";22;32048;10023
wielkopolskie;m. Turek;"=""302701""";17;23331;6845
wielkopolskie;gm. Brudzew;"=""302702""";6;4770;1525
wielkopolskie;gm. Dobra;"=""302703""";6;4713;940
wielkopolskie;gm. Kawęczyn;"=""302704""";4;4247;2000
wielkopolskie;gm. Malanów;"=""302705""";4;5156;2000
wielkopolskie;gm. Przykona;"=""302706""";3;3557;1420
wielkopolskie;gm. Tuliszków;"=""302707""";6;8461;1161
wielkopolskie;gm. Turek;"=""302708""";8;6516;1743
wielkopolskie;gm. Władysławów;"=""302709""";7;6471;2184
wielkopolskie;m. Wągrowiec;"=""302801""";11;20002;3824
wielkopolskie;gm. Damasławek;"=""302802""";4;4402;3250
wielkopolskie;gm. Gołańcz;"=""302803""";7;6581;1840
wielkopolskie;gm. Mieścisko;"=""302804""";5;4755;3320
wielkopolskie;gm. Skoki;"=""302805""";8;7152;1337
wielkopolskie;gm. Wapno;"=""302806""";2;2432;400
wielkopolskie;gm. Wągrowiec;"=""302807""";7;8919;3045
wielkopolskie;gm. Przemęt;"=""302901""";8;11275;5750
wielkopolskie;gm. Siedlec;"=""302902""";9;9662;4835
wielkopolskie;gm. Wolsztyn;"=""302903""";21;23697;6110
wielkopolskie;gm. Kołaczkowo;"=""303001""";5;4518;1900
wielkopolskie;gm. Miłosław;"=""303002""";7;7992;1850
wielkopolskie;gm. Nekla;"=""303003""";4;5786;400
wielkopolskie;gm. Pyzdry;"=""303004""";6;5752;1350
wielkopolskie;gm. Września;"=""303005""";26;35726;15963
wielkopolskie;m. Złotów;"=""303101""";8;14769;10000
wielkopolskie;gm. Jastrowie;"=""303102""";6;9151;2260
wielkopolskie;gm. Krajenka;"=""303103""";8;5963;1107
wielkopolskie;gm. Lipka;"=""303104""";4;4407;1406
wielkopolskie;gm. Okonek;"=""303105""";8;7020;1744
wielkopolskie;gm. Tarnówka;"=""303106""";3;2483;673
wielkopolskie;gm. Zakrzewo;"=""303107""";4;3948;520
wielkopolskie;gm. Złotów;"=""303108""";5;7362;1405
wielkopolskie;m. Kalisz;"=""306101""";51;81542;32924
wielkopolskie;m. Konin;"=""306201""";45;61077;19728
wielkopolskie;m. Leszno;"=""306301""";32;50495;10858
wielkopolskie;m. Poznań;"=""306401""";224;397672;166968
zachodniopomorskie;m. Białogard;"=""320101""";15;18939;4426
zachodniopomorskie;gm. Białogard;"=""320102""";5;6227;2760
zachodniopomorskie;gm. Karlino;"=""320103""";6;7195;5900
zachodniopomorskie;gm. Tychowo;"=""320104""";5;5499;1600
zachodniopomorskie;gm. Bierzwnik;"=""320201""";3;3967;3250
zachodniopomorskie;gm. Choszczno;"=""320202""";18;17472;9368
zachodniopomorskie;gm. Drawno;"=""320203""";5;4190;1915
zachodniopomorskie;gm. Krzęcin;"=""320204""";2;3057;600
zachodniopomorskie;gm. Pełczyce;"=""320205""";4;6297;1800
zachodniopomorskie;gm. Recz;"=""320206""";4;4498;1750
zachodniopomorskie;gm. Czaplinek;"=""320301""";8;9626;2797
zachodniopomorskie;gm. Drawsko Pomorskie;"=""320302""";15;13472;3224
zachodniopomorskie;gm. Kalisz Pomorski;"=""320303""";6;5837;284
zachodniopomorskie;gm. Ostrowice;"=""320304""";4;2058;575
zachodniopomorskie;gm. Wierzchowo;"=""320305""";4;3589;1550
zachodniopomorskie;gm. Złocieniec;"=""320306""";15;12389;1379
zachodniopomorskie;gm. Goleniów;"=""320402""";21;26421;5680
zachodniopomorskie;gm. Maszewo;"=""320403""";5;6800;3750
zachodniopomorskie;gm. Nowogard;"=""320404""";15;19141;5858
zachodniopomorskie;gm. Osina;"=""320405""";2;2335;1500
zachodniopomorskie;gm. Przybiernów;"=""320406""";3;4052;1319
zachodniopomorskie;gm. Stepnica;"=""320407""";3;3886;1700
zachodniopomorskie;gm. Brojce;"=""320501""";3;2974;450
zachodniopomorskie;gm. Gryfice;"=""320502""";12;16767;7230
zachodniopomorskie;gm. Karnice;"=""320503""";2;3346;1952
zachodniopomorskie;gm. Płoty;"=""320504""";10;7240;7240
zachodniopomorskie;gm. Rewal;"=""320507""";3;3894;323
zachodniopomorskie;gm. Trzebiatów;"=""320508""";10;12860;3736
zachodniopomorskie;gm. Banie;"=""320601""";4;5125;1633
zachodniopomorskie;gm. Cedynia;"=""320602""";2;3597;1513
zachodniopomorskie;gm. Chojna;"=""320603""";10;11105;6734
zachodniopomorskie;gm. Gryfino;"=""320604""";19;25092;15400
zachodniopomorskie;gm. Mieszkowice;"=""320605""";6;5868;1970
zachodniopomorskie;gm. Moryń;"=""320606""";3;3410;1534
zachodniopomorskie;gm. Stare Czarnowo;"=""320607""";3;3122;309
zachodniopomorskie;gm. Trzcińsko-Zdrój;"=""320608""";3;4480;1050
zachodniopomorskie;gm. Widuchowa;"=""320609""";4;3669;329
zachodniopomorskie;gm. Dziwnów;"=""320701""";5;3353;2674
zachodniopomorskie;gm. Golczewo;"=""320702""";3;4879;315
zachodniopomorskie;gm. Kamień Pomorski;"=""320703""";10;11789;3500
zachodniopomorskie;gm. Międzyzdroje;"=""320704""";5;5435;4247
zachodniopomorskie;gm. Świerzno;"=""320705""";4;3414;1420
zachodniopomorskie;gm. Wolin;"=""320706""";14;9946;1474
zachodniopomorskie;m. Kołobrzeg;"=""320801""";22;36882;19500
zachodniopomorskie;gm. Dygowo;"=""320802""";4;4341;1070
zachodniopomorskie;gm. Gościno;"=""320803""";5;4055;650
zachodniopomorskie;gm. Kołobrzeg;"=""320804""";9;8376;3180
zachodniopomorskie;gm. Rymań;"=""320805""";4;3332;2040
zachodniopomorskie;gm. Siemyśl;"=""320806""";2;2960;872
zachodniopomorskie;gm. Ustronie Morskie;"=""320807""";2;3058;2400
zachodniopomorskie;gm. Będzino;"=""320901""";6;6798;3368
zachodniopomorskie;gm. Biesiekierz;"=""320902""";3;4954;602
zachodniopomorskie;gm. Bobolice;"=""320903""";9;7511;2432
zachodniopomorskie;gm. Manowo;"=""320904""";8;5282;1075
zachodniopomorskie;gm. Mielno;"=""320905""";5;4107;1424
zachodniopomorskie;gm. Polanów;"=""320906""";7;6978;2230
zachodniopomorskie;gm. Sianów;"=""320907""";11;11207;8403
zachodniopomorskie;gm. Świeszyno;"=""320908""";7;5440;1659
zachodniopomorskie;gm. Barlinek;"=""321001""";16;15503;5015
zachodniopomorskie;gm. Boleszkowice;"=""321002""";3;2341;900
zachodniopomorskie;gm. Dębno;"=""321003""";13;16446;3320
zachodniopomorskie;gm. Myślibórz;"=""321004""";13;16554;4257
zachodniopomorskie;gm. Nowogródek Pomorski;"=""321005""";3;2707;890
zachodniopomorskie;gm. Dobra (Szczecińska);"=""321101""";9;15030;2326
zachodniopomorskie;gm. Kołbaskowo;"=""321102""";6;9870;4075
zachodniopomorskie;gm. Nowe Warpno;"=""321103""";2;1329;198
zachodniopomorskie;gm. Police;"=""321104""";25;30600;10155
zachodniopomorskie;gm. Bielice;"=""321201""";2;2467;1634
zachodniopomorskie;gm. Kozielice;"=""321202""";2;2139;700
zachodniopomorskie;gm. Lipiany;"=""321203""";4;4837;3097
zachodniopomorskie;gm. Przelewice;"=""321204""";4;4251;696
zachodniopomorskie;gm. Pyrzyce;"=""321205""";12;17155;1940
zachodniopomorskie;gm. Warnice;"=""321206""";2;2844;1600
zachodniopomorskie;m. Darłowo;"=""321301""";8;11353;2420
zachodniopomorskie;m. Sławno;"=""321302""";5;10143;1400
zachodniopomorskie;gm. Darłowo;"=""321303""";15;6399;2571
zachodniopomorskie;gm. Malechowo;"=""321304""";4;5246;2524
zachodniopomorskie;gm. Postomino;"=""321305""";5;5602;725
zachodniopomorskie;gm. Sławno;"=""321306""";7;7021;820
zachodniopomorskie;m. Stargard Szczeciński;"=""321401""";33;54872;12217
zachodniopomorskie;gm. Chociwel;"=""321402""";3;4827;1300
zachodniopomorskie;gm. Dobrzany;"=""321403""";2;4135;2000
zachodniopomorskie;gm. Dolice;"=""321404""";6;7931;2415
zachodniopomorskie;gm. Ińsko;"=""321405""";2;2900;2100
zachodniopomorskie;gm. Kobylanka;"=""321406""";3;3700;3300
zachodniopomorskie;gm. Marianowo;"=""321408""";4;2507;685
zachodniopomorskie;gm. Stara Dąbrowa;"=""321409""";3;3132;2100
zachodniopomorskie;gm. Stargard Szczeciński;"=""321410""";10;9946;1500
zachodniopomorskie;gm. Suchań;"=""321411""";4;173;173
